GEOID,NAME,estimate
05109,"Pike County, Arkansas",10808
05111,"Poinsett County, Arkansas",24054
05113,"Polk County, Arkansas",20163
05115,"Pope County, Arkansas",63644
05117,"Prairie County, Arkansas",8244
05119,"Pulaski County, Arkansas",393463
05121,"Randolph County, Arkansas",17603
05123,"St. Francis County, Arkansas",26294
05125,"Saline County, Arkansas",118009
05127,"Scott County, Arkansas",10442
05129,"Searcy County, Arkansas",7923
05131,"Sebastian County, Arkansas",127461
05133,"Sevier County, Arkansas",17193
05135,"Sharp County, Arkansas",17043
05137,"Stone County, Arkansas",12446
05139,"Union County, Arkansas",39732
05141,"Van Buren County, Arkansas",16684
05143,"Washington County, Arkansas",228529
05145,"White County, Arkansas",78804
05147,"Woodruff County, Arkansas",6660
05149,"Yell County, Arkansas",21573
06001,"Alameda County, California",1643700
06003,"Alpine County, California",1146
06005,"Amador County, California",37829
06007,"Butte County, California",227075
06009,"Calaveras County, California",45235
06011,"Colusa County, California",21464
06013,"Contra Costa County, California",1133247
06015,"Del Norte County, California",27424
06017,"El Dorado County, California",186661
06019,"Fresno County, California",978130
06021,"Glenn County, California",27897
06023,"Humboldt County, California",135768
06025,"Imperial County, California",180216
06027,"Inyo County, California",18085
06029,"Kern County, California",883053
06031,"Kings County, California",150075
06033,"Lake County, California",64148
06035,"Lassen County, California",31185
06037,"Los Angeles County, California",10098052
06039,"Madera County, California",155013
06041,"Marin County, California",260295
06043,"Mariposa County, California",17540
06045,"Mendocino County, California",87422
06047,"Merced County, California",269075
06049,"Modoc County, California",8938
06051,"Mono County, California",14174
06053,"Monterey County, California",433212
06055,"Napa County, California",140530
06057,"Nevada County, California",99092
06059,"Orange County, California",3164182
06061,"Placer County, California",380077
06063,"Plumas County, California",18699
06065,"Riverside County, California",2383286
06067,"Sacramento County, California",1510023
06069,"San Benito County, California",59416
06071,"San Bernardino County, California",2135413
06073,"San Diego County, California",3302833
06075,"San Francisco County, California",870044
06077,"San Joaquin County, California",732212
06079,"San Luis Obispo County, California",281455
06081,"San Mateo County, California",765935
06083,"Santa Barbara County, California",443738
06085,"Santa Clara County, California",1922200
06087,"Santa Cruz County, California",273765
06089,"Shasta County, California",179085
06091,"Sierra County, California",2930
06093,"Siskiyou County, California",43540
06095,"Solano County, California",438530
06097,"Sonoma County, California",501317
06099,"Stanislaus County, California",539301
06101,"Sutter County, California",95872
06103,"Tehama County, California",63373
06105,"Trinity County, California",12862
06107,"Tulare County, California",460477
06109,"Tuolumne County, California",53932
06111,"Ventura County, California",848112
06113,"Yolo County, California",214977
06115,"Yuba County, California",75493
08001,"Adams County, Colorado",497115
08003,"Alamosa County, Colorado",16444
08005,"Arapahoe County, Colorado",636671
08007,"Archuleta County, Colorado",12908
08009,"Baca County, Colorado",3563
08011,"Bent County, Colorado",5809
08013,"Boulder County, Colorado",321030
08014,"Broomfield County, Colorado",66120
08015,"Chaffee County, Colorado",19164
08017,"Cheyenne County, Colorado",2039
08019,"Clear Creek County, Colorado",9379
08021,"Conejos County, Colorado",8142
08023,"Costilla County, Colorado",3687
08025,"Crowley County, Colorado",5630
08027,"Custer County, Colorado",4640
08029,"Delta County, Colorado",30346
08031,"Denver County, Colorado",693417
08033,"Dolores County, Colorado",1841
08035,"Douglas County, Colorado",328614
08037,"Eagle County, Colorado",54357
08039,"Elbert County, Colorado",25162
08041,"El Paso County, Colorado",688153
08043,"Fremont County, Colorado",47002
08045,"Garfield County, Colorado",58538
08047,"Gilpin County, Colorado",5924
08049,"Grand County, Colorado",15066
08051,"Gunnison County, Colorado",16537
08053,"Hinsdale County, Colorado",878
08055,"Huerfano County, Colorado",6583
08057,"Jackson County, Colorado",1296
08059,"Jefferson County, Colorado",570427
08061,"Kiowa County, Colorado",1449
08063,"Kit Carson County, Colorado",7635
08065,"Lake County, Colorado",7585
08067,"La Plata County, Colorado",55101
08069,"Larimer County, Colorado",338161
08071,"Las Animas County, Colorado",14179
08073,"Lincoln County, Colorado",5548
08075,"Logan County, Colorado",21689
08077,"Mesa County, Colorado",149998
08079,"Mineral County, Colorado",823
08081,"Moffat County, Colorado",13060
08083,"Montezuma County, Colorado",25909
08085,"Montrose County, Colorado",41268
08087,"Morgan County, Colorado",28257
08089,"Otero County, Colorado",18325
08091,"Ouray County, Colorado",4722
08093,"Park County, Colorado",17392
08095,"Phillips County, Colorado",4318
08097,"Pitkin County, Colorado",17909
