Confirmed,Date,Deaths,Province_State,new_confirmed,new_deaths,new_confirmed_7,new_deaths_7,new_confirmed_14,new_deaths_14,RegionCode,stringency,containment,State_FIPS,StateName,population,per_100k_new_confirmed_7,per_100k_new_deaths_7
0.0,2020-02-25,0.0,Alabama,0.0,0.0,,,,,AL,0.0,0.0,01,Alabama,4864680.0,,
0.0,2020-02-26,0.0,Alabama,0.0,0.0,,,,,AL,0.0,0.0,01,Alabama,4864680.0,,
0.0,2020-02-27,0.0,Alabama,0.0,0.0,,,,,AL,0.0,0.0,01,Alabama,4864680.0,,
0.0,2020-02-28,0.0,Alabama,0.0,0.0,,,,,AL,0.0,0.0,01,Alabama,4864680.0,,
0.0,2020-02-29,0.0,Alabama,0.0,0.0,,,,,AL,0.0,0.0,01,Alabama,4864680.0,,
0.0,2020-03-01,0.0,Alabama,0.0,0.0,,,,,AL,0.0,0.0,01,Alabama,4864680.0,,
0.0,2020-03-02,0.0,Alabama,0.0,0.0,0.0,0.0,,,AL,0.0,0.0,01,Alabama,4864680.0,0.0,0.0
0.0,2020-03-03,0.0,Alabama,0.0,0.0,0.0,0.0,,,AL,0.0,0.0,01,Alabama,4864680.0,0.0,0.0
0.0,2020-03-04,0.0,Alabama,0.0,0.0,0.0,0.0,,,AL,0.0,0.0,01,Alabama,4864680.0,0.0,0.0
0.0,2020-03-05,0.0,Alabama,0.0,0.0,0.0,0.0,,,AL,0.0,0.0,01,Alabama,4864680.0,0.0,0.0
0.0,2020-03-06,0.0,Alabama,0.0,0.0,0.0,0.0,,,AL,0.0,5.56,01,Alabama,4864680.0,0.0,0.0
0.0,2020-03-07,0.0,Alabama,0.0,0.0,0.0,0.0,,,AL,0.0,5.56,01,Alabama,4864680.0,0.0,0.0
0.0,2020-03-08,0.0,Alabama,0.0,0.0,0.0,0.0,,,AL,0.0,5.56,01,Alabama,4864680.0,0.0,0.0
0.0,2020-03-09,0.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,AL,0.0,5.56,01,Alabama,4864680.0,0.0,0.0
0.0,2020-03-10,0.0,Alabama,0.0,0.0,0.0,0.0,0.0,0.0,AL,8.33,11.81,01,Alabama,4864680.0,0.0,0.0
3.0,2020-03-11,0.0,Alabama,3.0,0.0,0.42857142857142855,0.0,0.21428571428571427,0.0,AL,8.33,11.81,01,Alabama,4864680.0,0.008809858584150006,0.0
4.0,2020-03-12,0.0,Alabama,1.0,0.0,0.5714285714285714,0.0,0.2857142857142857,0.0,AL,8.33,11.81,01,Alabama,4864680.0,0.01174647811220001,0.0
8.0,2020-03-13,0.0,Alabama,4.0,0.0,1.1428571428571428,0.0,0.5714285714285714,0.0,AL,11.11,13.89,01,Alabama,4864680.0,0.02349295622440002,0.0
15.0,2020-03-14,0.0,Alabama,7.0,0.0,2.142857142857143,0.0,1.0714285714285714,0.0,AL,11.11,13.89,01,Alabama,4864680.0,0.044049292920750036,0.0
28.0,2020-03-15,0.0,Alabama,13.0,0.0,4.0,0.0,2.0,0.0,AL,11.11,13.89,01,Alabama,4864680.0,0.08222534678540007,0.0
36.0,2020-03-16,0.0,Alabama,8.0,0.0,5.142857142857143,0.0,2.5714285714285716,0.0,AL,15.74,17.36,01,Alabama,4864680.0,0.10571830300980009,0.0
51.0,2020-03-17,0.0,Alabama,15.0,0.0,7.285714285714286,0.0,3.642857142857143,0.0,AL,29.17,27.43,01,Alabama,4864680.0,0.14976759593055014,0.0
61.0,2020-03-18,0.0,Alabama,10.0,0.0,8.285714285714286,0.0,4.357142857142857,0.0,AL,29.17,27.43,01,Alabama,4864680.0,0.17032393262690015,0.0
88.0,2020-03-19,0.0,Alabama,27.0,0.0,12.0,0.0,6.285714285714286,0.0,AL,39.35,35.07,01,Alabama,4864680.0,0.2466760403562002,0.0
115.0,2020-03-20,0.0,Alabama,27.0,0.0,15.285714285714286,0.0,8.214285714285714,0.0,AL,46.76,40.62,01,Alabama,4864680.0,0.3142182895013503,0.0
149.0,2020-03-21,0.0,Alabama,34.0,0.0,19.142857142857142,0.0,10.642857142857142,0.0,AL,46.76,40.62,01,Alabama,4864680.0,0.3935070167587003,0.0
180.0,2020-03-22,0.0,Alabama,31.0,0.0,21.714285714285715,0.0,12.857142857142858,0.0,AL,46.76,40.62,01,Alabama,4864680.0,0.44636616826360037,0.0
224.0,2020-03-23,0.0,Alabama,44.0,0.0,26.857142857142858,0.0,16.0,0.0,AL,46.76,40.62,01,Alabama,4864680.0,0.5520844712734005,0.0
298.0,2020-03-24,0.0,Alabama,74.0,0.0,35.285714285714285,0.0,21.285714285714285,0.0,AL,52.31,44.79,01,Alabama,4864680.0,0.7253450234283506,0.0
472.0,2020-03-25,1.0,Alabama,174.0,1.0,58.714285714285715,0.14285714285714285,33.5,0.07142857142857142,AL,52.31,44.79,01,Alabama,4864680.0,1.206950626028551,0.0029366195280500023
574.0,2020-03-26,1.0,Alabama,102.0,0.0,69.42857142857143,0.14285714285714285,40.714285714285715,0.07142857142857142,AL,52.31,44.79,01,Alabama,4864680.0,1.4271970906323013,0.0029366195280500023
684.0,2020-03-27,4.0,Alabama,110.0,3.0,81.28571428571429,0.5714285714285714,48.285714285714285,0.2857142857142857,AL,52.31,44.79,01,Alabama,4864680.0,1.6709365114604513,0.01174647811220001
801.0,2020-03-28,4.0,Alabama,117.0,0.0,93.14285714285714,0.5714285714285714,56.142857142857146,0.2857142857142857,AL,56.94,48.26,01,Alabama,4864680.0,1.9146759322886013,0.01174647811220001
880.0,2020-03-29,10.0,Alabama,79.0,6.0,100.0,1.4285714285714286,60.857142857142854,0.7142857142857143,AL,56.94,48.26,01,Alabama,4864680.0,2.055633669635002,0.029366195280500024
1001.0,2020-03-30,10.0,Alabama,121.0,0.0,111.0,1.4285714285714286,68.92857142857143,0.7142857142857143,AL,56.94,48.26,01,Alabama,4864680.0,2.281753373294852,0.029366195280500024
1063.0,2020-03-31,23.0,Alabama,62.0,13.0,109.28571428571429,3.2857142857142856,72.28571428571429,1.6428571428571428,AL,56.94,56.6,01,Alabama,4864680.0,2.2465139389582522,0.06754224914515006
1175.0,2020-04-01,27.0,Alabama,112.0,4.0,100.42857142857143,3.7142857142857144,79.57142857142857,1.9285714285714286,AL,56.94,56.6,01,Alabama,4864680.0,2.064443528219152,0.07635210772930007
1371.0,2020-04-02,32.0,Alabama,196.0,5.0,113.85714285714286,4.428571428571429,91.64285714285714,2.2857142857142856,AL,56.94,56.6,01,Alabama,4864680.0,2.340485763855852,0.09103520536955008
1606.0,2020-04-03,38.0,Alabama,235.0,6.0,131.71428571428572,4.857142857142857,106.5,2.7142857142857144,AL,59.72,58.68,01,Alabama,4864680.0,2.7075632048621023,0.09984506395370008
1727.0,2020-04-04,44.0,Alabama,121.0,6.0,132.28571428571428,5.714285714285714,112.71428571428571,3.142857142857143,AL,65.74,63.19,01,Alabama,4864680.0,2.719309682974302,0.1174647811220001
1905.0,2020-04-05,45.0,Alabama,178.0,1.0,146.42857142857142,5.0,123.21428571428571,3.2142857142857144,AL,65.74,63.19,01,Alabama,4864680.0,3.010035016251252,0.1027816834817501
2079.0,2020-04-06,49.0,Alabama,174.0,4.0,154.0,5.571428571428571,132.5,3.5,AL,65.74,63.19,01,Alabama,4864680.0,3.165675851237903,0.1145281615939501
2308.0,2020-04-07,64.0,Alabama,229.0,15.0,177.85714285714286,5.857142857142857,143.57142857142858,4.571428571428571,AL,65.74,63.19,01,Alabama,4864680.0,3.656091312422253,0.1204014006500501
2614.0,2020-04-08,66.0,Alabama,306.0,2.0,205.57142857142858,5.571428571428571,153.0,4.642857142857143,AL,65.74,63.19,01,Alabama,4864680.0,4.225795500863954,0.1145281615939501
2954.0,2020-04-09,70.0,Alabama,340.0,4.0,226.14285714285714,5.428571428571429,170.0,4.928571428571429,AL,65.74,63.19,01,Alabama,4864680.0,4.648668712903154,0.11159154206590009
3112.0,2020-04-10,80.0,Alabama,158.0,10.0,215.14285714285714,6.0,173.42857142857142,5.428571428571429,AL,65.74,63.19,01,Alabama,4864680.0,4.422549009243304,0.1233380201781001
3346.0,2020-04-11,92.0,Alabama,234.0,12.0,231.28571428571428,6.857142857142857,181.78571428571428,6.285714285714286,AL,65.74,63.19,01,Alabama,4864680.0,4.754387015912954,0.1409577373464001
3667.0,2020-04-12,93.0,Alabama,321.0,1.0,251.71428571428572,6.857142857142857,199.07142857142858,5.928571428571429,AL,65.74,63.19,01,Alabama,4864680.0,5.174323608424104,0.1409577373464001
3870.0,2020-04-13,99.0,Alabama,203.0,6.0,255.85714285714286,7.142857142857143,204.92857142857142,6.357142857142857,AL,65.74,63.19,01,Alabama,4864680.0,5.259485574737555,0.14683097640250012
4041.0,2020-04-14,114.0,Alabama,171.0,15.0,247.57142857142858,7.142857142857143,212.71428571428572,6.5,AL,65.74,63.19,01,Alabama,4864680.0,5.089161642110654,0.14683097640250012
4307.0,2020-04-15,118.0,Alabama,266.0,4.0,241.85714285714286,7.428571428571429,223.71428571428572,6.5,AL,65.74,63.19,01,Alabama,4864680.0,4.971696860988654,0.15270421545860013
4465.0,2020-04-16,133.0,Alabama,158.0,15.0,215.85714285714286,9.0,221.0,7.214285714285714,AL,65.74,63.19,01,Alabama,4864680.0,4.437232106883553,0.18500703026715015
4557.0,2020-04-17,148.0,Alabama,92.0,15.0,206.42857142857142,9.714285714285714,210.78571428571428,7.857142857142857,AL,65.74,63.19,01,Alabama,4864680.0,4.243415218032253,0.19969012790740015
4788.0,2020-04-18,153.0,Alabama,231.0,5.0,206.0,8.714285714285714,218.64285714285714,7.785714285714286,AL,65.74,63.19,01,Alabama,4864680.0,4.2346053594481035,0.17913379121105014
4978.0,2020-04-19,157.0,Alabama,190.0,4.0,187.28571428571428,9.142857142857142,219.5,8.0,AL,65.74,63.19,01,Alabama,4864680.0,3.849908201273553,0.18794364979520015
5163.0,2020-04-20,163.0,Alabama,185.0,6.0,184.71428571428572,9.142857142857142,220.28571428571428,8.142857142857142,AL,65.74,63.19,01,Alabama,4864680.0,3.797049049768653,0.18794364979520015
5404.0,2020-04-21,183.0,Alabama,241.0,20.0,194.71428571428572,9.857142857142858,221.14285714285714,8.5,AL,65.74,63.19,01,Alabama,4864680.0,4.002612416732153,0.2026267474354502
5692.0,2020-04-22,196.0,Alabama,288.0,13.0,197.85714285714286,11.142857142857142,219.85714285714286,9.285714285714286,AL,65.74,63.19,01,Alabama,4864680.0,4.067218046349253,0.2290563231879002
5899.0,2020-04-23,202.0,Alabama,207.0,6.0,204.85714285714286,9.857142857142858,210.35714285714286,9.428571428571429,AL,65.74,63.19,01,Alabama,4864680.0,4.211112403223703,0.2026267474354502
6092.0,2020-04-24,209.0,Alabama,193.0,7.0,219.28571428571428,8.714285714285714,212.85714285714286,9.214285714285714,AL,65.74,63.19,01,Alabama,4864680.0,4.507710975556754,0.17913379121105014
6274.0,2020-04-25,209.0,Alabama,182.0,0.0,212.28571428571428,8.0,209.14285714285714,8.357142857142858,AL,65.74,63.19,01,Alabama,4864680.0,4.3638166186823035,0.16445069357080014
6475.0,2020-04-26,219.0,Alabama,201.0,10.0,213.85714285714286,8.857142857142858,200.57142857142858,9.0,AL,65.74,63.19,01,Alabama,4864680.0,4.3961194334908535,0.18207041073910016
6621.0,2020-04-27,228.0,Alabama,146.0,9.0,208.28571428571428,9.285714285714286,196.5,9.214285714285714,AL,65.74,63.19,01,Alabama,4864680.0,4.281591271896903,0.1908802693232502
6820.0,2020-04-28,242.0,Alabama,199.0,14.0,202.28571428571428,8.428571428571429,198.5,9.142857142857142,AL,64.35,62.15,01,Alabama,4864680.0,4.158253251718803,0.17326055215495015
6979.0,2020-04-29,256.0,Alabama,159.0,14.0,183.85714285714286,8.571428571428571,190.85714285714286,9.857142857142858,AL,64.35,62.15,01,Alabama,4864680.0,3.7794293326003534,0.17619717168300014
7187.0,2020-04-30,272.0,Alabama,208.0,16.0,184.0,10.0,194.42857142857142,9.928571428571429,AL,55.09,57.29,01,Alabama,4864680.0,3.7823659521284028,0.2055633669635002
7440.0,2020-05-01,289.0,Alabama,253.0,17.0,192.57142857142858,11.428571428571429,205.92857142857142,10.071428571428571,AL,55.09,60.42,01,Alabama,4864680.0,3.958563123811403,0.2349295622440002
7700.0,2020-05-02,288.0,Alabama,260.0,-1.0,203.71428571428572,11.285714285714286,208.0,9.642857142857142,AL,55.09,60.42,01,Alabama,4864680.0,4.187619446999304,0.2319929427159502
7977.0,2020-05-03,290.0,Alabama,277.0,2.0,214.57142857142858,10.142857142857142,214.21428571428572,9.5,AL,55.09,60.42,01,Alabama,4864680.0,4.410802531131104,0.20849998649155013
8203.0,2020-05-04,298.0,Alabama,226.0,8.0,226.0,10.0,217.14285714285714,9.642857142857142,AL,55.09,60.42,01,Alabama,4864680.0,4.645732093375104,0.2055633669635002
8520.0,2020-05-05,315.0,Alabama,317.0,17.0,242.85714285714286,10.428571428571429,222.57142857142858,9.428571428571429,AL,55.09,60.42,01,Alabama,4864680.0,4.992253197685004,0.2143732255476502
8769.0,2020-05-06,343.0,Alabama,249.0,28.0,255.71428571428572,12.428571428571429,219.78571428571428,10.5,AL,55.09,60.42,01,Alabama,4864680.0,5.256548955209505,0.2554858989403502
9115.0,2020-05-07,369.0,Alabama,346.0,26.0,275.42857142857144,13.857142857142858,229.71428571428572,11.928571428571429,AL,55.09,60.42,01,Alabama,4864680.0,5.661802450080405,0.2848520942208502
9437.0,2020-05-08,383.0,Alabama,322.0,14.0,285.2857142857143,13.428571428571429,238.92857142857142,12.428571428571429,AL,55.09,60.42,01,Alabama,4864680.0,5.864429197515855,0.2760422356367003
9720.0,2020-05-09,390.0,Alabama,283.0,7.0,288.57142857142856,14.571428571428571,246.14285714285714,12.928571428571429,AL,55.09,60.42,01,Alabama,4864680.0,5.931971446661005,0.2995351918611003
9982.0,2020-05-10,393.0,Alabama,262.0,3.0,286.42857142857144,14.714285714285714,250.5,12.428571428571429,AL,55.09,60.42,01,Alabama,4864680.0,5.887922153740256,0.3024718113891502
10262.0,2020-05-11,403.0,Alabama,280.0,10.0,294.14285714285717,15.0,260.07142857142856,12.5,AL,52.31,58.33,01,Alabama,4864680.0,6.046499608254956,0.30834505044525023
10566.0,2020-05-12,435.0,Alabama,304.0,32.0,292.2857142857143,17.142857142857142,267.57142857142856,13.785714285714286,AL,52.31,58.33,01,Alabama,4864680.0,6.008323554390305,0.3523943433660003
10822.0,2020-05-13,450.0,Alabama,256.0,15.0,293.2857142857143,15.285714285714286,274.5,13.857142857142858,AL,52.31,58.33,01,Alabama,4864680.0,6.028879891086655,0.3142182895013503
11161.0,2020-05-14,473.0,Alabama,339.0,23.0,292.2857142857143,14.857142857142858,283.85714285714283,14.357142857142858,AL,52.31,58.33,01,Alabama,4864680.0,6.008323554390305,0.30540843091720027
11494.0,2020-05-15,483.0,Alabama,333.0,10.0,293.85714285714283,14.285714285714286,289.57142857142856,13.857142857142858,AL,52.31,58.33,01,Alabama,4864680.0,6.040626369198854,0.29366195280500024
11828.0,2020-05-16,485.0,Alabama,334.0,2.0,301.14285714285717,13.571428571428571,294.85714285714283,14.071428571428571,AL,52.31,58.33,01,Alabama,4864680.0,6.190393965129405,0.2789788551647502
12137.0,2020-05-17,488.0,Alabama,309.0,3.0,307.85714285714283,13.571428571428571,297.14285714285717,14.142857142857142,AL,52.31,58.33,01,Alabama,4864680.0,6.328415082947754,0.2789788551647502
12438.0,2020-05-18,489.0,Alabama,301.0,1.0,310.85714285714283,12.285714285714286,302.5,13.642857142857142,AL,52.31,58.33,01,Alabama,4864680.0,6.390084093036805,0.25254927941230026
12825.0,2020-05-19,504.0,Alabama,387.0,15.0,322.7142857142857,9.857142857142858,307.5,13.5,AL,52.31,58.33,01,Alabama,4864680.0,6.633823513864956,0.2026267474354502
13186.0,2020-05-20,522.0,Alabama,361.0,18.0,337.7142857142857,10.285714285714286,315.5,12.785714285714286,AL,52.31,58.33,01,Alabama,4864680.0,6.942168564310205,0.21143660601960018
13590.0,2020-05-21,529.0,Alabama,404.0,7.0,347.0,8.0,319.64285714285717,11.428571428571429,AL,42.59,51.04,01,Alabama,4864680.0,7.133048833633455,0.16445069357080014
13954.0,2020-05-22,541.0,Alabama,364.0,12.0,351.42857142857144,8.285714285714286,322.64285714285717,11.285714285714286,AL,40.74,49.65,01,Alabama,4864680.0,7.2240840390030066,0.17032393262690015
14328.0,2020-05-23,549.0,Alabama,374.0,8.0,357.14285714285717,9.142857142857142,329.14285714285717,11.357142857142858,AL,40.74,49.65,01,Alabama,4864680.0,7.341548820125007,0.18794364979520015
14676.0,2020-05-24,551.0,Alabama,348.0,2.0,362.7142857142857,9.0,335.2857142857143,11.285714285714286,AL,40.74,49.65,01,Alabama,4864680.0,7.456076981718956,0.18500703026715015
15309.0,2020-05-25,566.0,Alabama,633.0,15.0,410.14285714285717,11.0,360.5,11.642857142857142,AL,40.74,49.65,01,Alabama,4864680.0,8.431034665031557,0.22611970365985018
15899.0,2020-05-26,580.0,Alabama,590.0,14.0,439.14285714285717,10.857142857142858,380.92857142857144,10.357142857142858,AL,40.74,49.65,01,Alabama,4864680.0,9.027168429225709,0.22318308413180019
16263.0,2020-05-27,583.0,Alabama,364.0,3.0,439.57142857142856,8.714285714285714,388.64285714285717,9.5,AL,40.74,49.65,01,Alabama,4864680.0,9.035978287809856,0.17913379121105014
16749.0,2020-05-28,591.0,Alabama,486.0,8.0,451.2857142857143,8.857142857142858,399.14285714285717,8.428571428571429,AL,40.74,49.65,01,Alabama,4864680.0,9.276781089109958,0.18207041073910016
17262.0,2020-05-29,610.0,Alabama,513.0,19.0,472.57142857142856,9.857142857142858,412.0,9.071428571428571,AL,40.74,49.65,01,Alabama,4864680.0,9.714337398789407,0.2026267474354502
17689.0,2020-05-30,618.0,Alabama,427.0,8.0,480.14285714285717,9.857142857142858,418.64285714285717,9.5,AL,40.74,49.65,01,Alabama,4864680.0,9.869978233776058,0.2026267474354502
18200.0,2020-05-31,630.0,Alabama,511.0,12.0,503.42857142857144,11.285714285714286,433.07142857142856,10.142857142857142,AL,40.74,49.65,01,Alabama,4864680.0,10.348647216848208,0.2319929427159502
