county_name,state,population
Bowie County,TX,92565
Bowman County,ND,3151
Box Butte County,NE,11308
Box Elder County,UT,49975
Boyd County,KY,49542
Boyd County,NE,2099
Boyle County,KY,28432
Bracken County,KY,8488
Bradford County,FL,28520
Bradford County,PA,62622
Bradley County,AR,11508
Bradley County,TN,98963
Branch County,MI,45248
Brantley County,GA,18411
Braxton County,WV,14523
Brazoria County,TX,313166
Brazos County,TX,194851
Breathitt County,KY,13878
Breckinridge County,KY,20059
Bremer County,IA,24276
Brevard County,FL,543376
Brewster County,TX,9232
Briscoe County,TX,1637
Bristol Bay Borough,AK,997
Bristol County,MA,548285
Bristol County,RI,49875
Bristol city,VA,17835
Broadwater County,MT,5612
Bronx County,NY,1385108
Brooke County,WV,24069
Brookings County,SD,31965
Brooks County,GA,16243
Brooks County,TX,7223
Broome County,NY,200600
Broomfield County,CO,55889
Broward County,FL,1748066
Brown County,IL,6937
Brown County,IN,15242
Brown County,KS,9984
Brown County,MN,25893
Brown County,NE,3145
Brown County,OH,44846
Brown County,SD,36531
Brown County,TX,38106
Brown County,WI,248007
Brule County,SD,5255
Brunswick County,NC,107431
Brunswick County,VA,17434
Bryan County,GA,30233
Bryan County,OK,42416
Buchanan County,IA,20958
Buchanan County,MO,89201
Buchanan County,VA,24098
Buckingham County,VA,17146
Bucks County,PA,625249
Buena Vista County,IA,20260
Buena Vista city,VA,6650
Buffalo County,NE,46102
Buffalo County,SD,1912
Buffalo County,WI,13587
Bullitt County,KY,74319
Bulloch County,GA,70217
Bullock County,AL,10914
Buncombe County,NC,238318
Bureau County,IL,34978
Burke County,GA,23316
Burke County,NC,90912
Burke County,ND,1968
Burleigh County,ND,81308
Burleson County,TX,17187
Burlington County,NJ,448734
Burnet County,TX,42750
Burnett County,WI,15457
Burt County,NE,6858
Butler County,AL,20947
Butler County,IA,14867
Butler County,KS,65880
Butler County,KY,12690
Butler County,MO,42794
Butler County,NE,8395
Butler County,OH,368130
Butler County,PA,183862
Butte County,CA,220000
Butte County,ID,2891
