,Date,Province/State,Confirmed,Deaths,new_confirmed,new_deaths,new_confirmed_avg,new_deaths_avg
85,2020-04-16,Alabama,4345,133,270,15,234.57142857142858,9.0
86,2020-04-17,Alabama,4571,148,226,15,232.0,9.714285714285714
87,2020-04-18,Alabama,4712,153,141,5,213.57142857142858,8.714285714285714
88,2020-04-19,Alabama,4888,157,176,4,189.28571428571428,9.142857142857142
89,2020-04-20,Alabama,5079,163,191,6,192.14285714285714,9.142857142857142
90,2020-04-21,Alabama,5317,183,238,20,194.85714285714286,9.857142857142858
91,2020-04-22,Alabama,5593,196,276,13,216.85714285714286,11.142857142857142
92,2020-04-23,Alabama,5832,202,239,6,212.42857142857142,9.857142857142858
93,2020-04-24,Alabama,6026,209,194,7,207.85714285714286,8.714285714285714
94,2020-04-25,Alabama,6026,209,0,0,187.71428571428572,8.0
95,2020-04-26,Alabama,6421,219,395,10,219.0,8.857142857142858
96,2020-04-27,Alabama,6539,228,118,9,208.57142857142858,9.285714285714286
97,2020-04-28,Alabama,6750,242,211,14,204.71428571428572,8.428571428571429
98,2020-04-29,Alabama,6912,256,162,14,188.42857142857142,8.571428571428571
99,2020-04-30,Alabama,7088,272,176,16,179.42857142857142,10.0
100,2020-05-01,Alabama,7294,289,206,17,181.14285714285714,11.428571428571429
101,2020-05-02,Alabama,7611,288,317,-1,226.42857142857142,11.285714285714286
102,2020-05-03,Alabama,7888,290,277,2,209.57142857142858,10.142857142857142
103,2020-05-04,Alabama,8112,298,224,8,224.71428571428572,10.0
104,2020-05-05,Alabama,8437,315,325,17,241.0,10.428571428571429
105,2020-05-06,Alabama,8691,343,254,28,254.14285714285714,12.428571428571429
106,2020-05-07,Alabama,9046,369,355,26,279.7142857142857,13.857142857142858
107,2020-05-08,Alabama,9385,383,339,14,298.7142857142857,13.428571428571429
108,2020-05-09,Alabama,9668,390,283,7,293.85714285714283,14.571428571428571
109,2020-05-10,Alabama,9889,393,221,3,285.85714285714283,14.714285714285714
110,2020-05-11,Alabama,10164,403,275,10,293.14285714285717,15.0
111,2020-05-12,Alabama,10464,435,300,32,289.57142857142856,17.142857142857142
112,2020-05-13,Alabama,10700,450,236,15,287.0,15.285714285714286
113,2020-05-14,Alabama,11101,473,401,23,293.57142857142856,14.857142857142858
114,2020-05-15,Alabama,11373,483,272,10,284.0,14.285714285714286
115,2020-05-16,Alabama,11674,485,301,2,286.57142857142856,13.571428571428571
116,2020-05-17,Alabama,11771,488,97,3,268.85714285714283,13.571428571428571
117,2020-05-18,Alabama,12086,489,315,1,274.57142857142856,12.285714285714286
118,2020-05-19,Alabama,12376,504,290,15,273.14285714285717,9.857142857142858
119,2020-05-20,Alabama,13052,522,676,18,336.0,10.285714285714286
120,2020-05-21,Alabama,13288,529,236,7,312.42857142857144,8.0
121,2020-05-22,Alabama,13670,541,382,12,328.14285714285717,8.285714285714286
122,2020-05-23,Alabama,14117,549,447,8,349.0,9.142857142857142
123,2020-05-24,Alabama,14478,551,361,2,386.7142857142857,9.0
124,2020-05-25,Alabama,14986,566,508,15,414.2857142857143,11.0
125,2020-05-26,Alabama,15650,580,664,14,467.7142857142857,10.857142857142858
126,2020-05-27,Alabama,16032,583,382,3,425.7142857142857,8.714285714285714
127,2020-05-28,Alabama,16530,591,498,8,463.14285714285717,8.857142857142858
128,2020-05-29,Alabama,17031,610,501,19,480.14285714285717,9.857142857142858
129,2020-05-30,Alabama,17359,618,328,8,463.14285714285717,9.857142857142858
130,2020-05-31,Alabama,17952,630,593,12,496.2857142857143,11.285714285714286
131,2020-06-01,Alabama,18630,646,678,16,520.5714285714286,11.428571428571429
132,2020-06-02,Alabama,18766,653,136,7,445.14285714285717,10.428571428571429
133,2020-06-03,Alabama,18851,653,85,0,402.7142857142857,10.0
134,2020-06-04,Alabama,19072,653,221,0,363.14285714285717,8.857142857142858
135,2020-06-05,Alabama,19387,676,315,23,336.57142857142856,9.428571428571429
136,2020-06-06,Alabama,20043,689,656,13,383.42857142857144,10.142857142857142
137,2020-06-07,Alabama,20500,692,457,3,364.0,8.857142857142858
138,2020-06-08,Alabama,20925,718,425,26,327.85714285714283,10.285714285714286
139,2020-06-09,Alabama,21422,729,497,11,379.42857142857144,10.857142857142858
140,2020-06-10,Alabama,21989,744,567,15,448.2857142857143,13.0
141,2020-06-11,Alabama,22845,755,856,11,539.0,14.571428571428571
142,2020-06-12,Alabama,23710,769,865,14,617.5714285714286,13.285714285714286
143,2020-06-13,Alabama,24601,773,891,4,651.1428571428571,12.0
144,2020-06-14,Alabama,25615,773,1014,0,730.7142857142857,11.571428571428571
145,2020-06-15,Alabama,26272,774,657,1,763.8571428571429,8.0
146,2020-06-16,Alabama,26912,785,640,11,784.2857142857143,8.0
147,2020-06-17,Alabama,27312,790,400,5,760.4285714285714,6.571428571428571
148,2020-06-18,Alabama,28206,810,894,20,765.8571428571429,7.857142857142857
149,2020-06-19,Alabama,29002,822,796,12,756.0,7.571428571428571
150,2020-06-20,Alabama,29549,838,547,16,706.8571428571429,9.285714285714286
151,2020-06-21,Alabama,30021,839,472,1,629.4285714285714,9.428571428571429
152,2020-06-22,Alabama,30454,841,433,2,597.4285714285714,9.571428571428571
153,2020-06-23,Alabama,31097,864,643,23,597.8571428571429,11.285714285714286
154,2020-06-24,Alabama,32064,891,967,27,678.8571428571429,14.428571428571429
155,2020-06-25,Alabama,33206,896,1142,5,714.2857142857143,12.285714285714286
156,2020-06-26,Alabama,34183,907,977,11,740.1428571428571,12.142857142857142
157,2020-06-27,Alabama,35083,919,900,12,790.5714285714286,11.571428571428571
158,2020-06-28,Alabama,35441,919,358,0,774.2857142857143,11.428571428571429
159,2020-06-29,Alabama,37175,929,1734,10,960.1428571428571,12.571428571428571
160,2020-06-30,Alabama,38045,950,870,21,992.5714285714286,12.285714285714286
161,2020-07-01,Alabama,38962,972,917,22,985.4285714285714,11.571428571428571
162,2020-07-02,Alabama,40111,985,1149,13,986.4285714285714,12.714285714285714
163,2020-07-03,Alabama,41865,1006,1754,21,1097.4285714285713,14.142857142857142
164,2020-07-04,Alabama,42862,1007,997,1,1111.2857142857142,12.571428571428571
165,2020-07-05,Alabama,43953,1007,1091,0,1216.0,12.571428571428571
166,2020-07-06,Alabama,44878,1007,925,0,1100.4285714285713,11.142857142857142
167,2020-07-07,Alabama,45785,1033,907,26,1105.7142857142858,11.857142857142858
168,2020-07-08,Alabama,46962,1058,1177,25,1142.857142857143,12.285714285714286
169,2020-07-09,Alabama,49174,1068,2212,10,1294.7142857142858,11.857142857142858
170,2020-07-10,Alabama,50508,1104,1334,36,1234.7142857142858,14.0
171,2020-07-11,Alabama,51947,1114,1439,10,1297.857142857143,15.285714285714286
172,2020-07-12,Alabama,53587,1121,1640,7,1376.2857142857142,16.285714285714285
173,2020-07-13,Alabama,55545,1124,1958,3,1523.857142857143,16.714285714285715
174,2020-07-14,Alabama,57255,1164,1710,40,1638.5714285714287,18.714285714285715
175,2020-07-15,Alabama,59067,1211,1812,47,1729.2857142857142,21.857142857142858
176,2020-07-16,Alabama,61088,1230,2021,19,1702.0,23.142857142857142
177,2020-07-17,Alabama,63091,1265,2003,35,1797.5714285714287,23.0
178,2020-07-18,Alabama,65234,1286,2143,21,1898.142857142857,24.571428571428573
179,2020-07-19,Alabama,67011,1287,1777,1,1917.7142857142858,23.714285714285715
180,2020-07-20,Alabama,68891,1291,1880,4,1906.5714285714287,23.857142857142858
181,2020-07-21,Alabama,70358,1303,1467,12,1871.857142857143,19.857142857142858
182,2020-07-22,Alabama,71813,1364,1455,61,1820.857142857143,21.857142857142858
183,2020-07-23,Alabama,74212,1397,2399,33,1874.857142857143,23.857142857142858
184,2020-07-24,Alabama,76005,1438,1793,41,1844.857142857143,24.714285714285715
185,2020-07-25,Alabama,78130,1456,2125,18,1842.2857142857142,24.285714285714285
186,2020-07-26,Alabama,79294,1473,1164,17,1754.7142857142858,26.571428571428573
187,2020-07-27,Alabama,81115,1491,1821,18,1746.2857142857142,28.571428571428573
188,2020-07-28,Alabama,82366,1491,1251,0,1715.4285714285713,26.857142857142858
189,2020-07-29,Alabama,83782,1538,1416,47,1709.857142857143,24.857142857142858
190,2020-07-30,Alabama,85762,1565,1980,27,1650.0,24.0
191,2020-07-31,Alabama,87723,1580,1961,15,1674.0,20.285714285714285
192,2020-08-01,Alabama,89349,1603,1626,23,1602.7142857142858,21.0
193,2020-08-02,Alabama,91444,1627,2095,24,1735.7142857142858,22.0
194,2020-08-03,Alabama,92661,1633,1217,6,1649.4285714285713,20.285714285714285
195,2020-08-04,Alabama,93702,1666,1041,33,1619.4285714285713,25.0
196,2020-08-05,Alabama,94654,1695,952,29,1553.142857142857,22.428571428571427
197,2020-08-06,Alabama,96592,1714,1938,19,1547.142857142857,21.285714285714285
198,2020-08-07,Alabama,98301,1735,1709,21,1511.142857142857,22.142857142857142
199,2020-08-08,Alabama,100173,1755,1872,20,1546.2857142857142,21.714285714285715
200,2020-08-09,Alabama,101334,1768,1161,13,1412.857142857143,20.142857142857142
201,2020-08-10,Alabama,103020,1797,1686,29,1479.857142857143,23.428571428571427
202,2020-08-11,Alabama,103851,1847,831,50,1449.857142857143,25.857142857142858
203,2020-08-12,Alabama,104786,1882,935,35,1447.4285714285713,26.714285714285715
204,2020-08-13,Alabama,105557,1890,771,8,1280.7142857142858,25.142857142857142
205,2020-08-14,Alabama,106309,1893,752,3,1144.0,22.571428571428573
206,2020-08-15,Alabama,107580,1896,1271,3,1058.142857142857,20.142857142857142
207,2020-08-16,Alabama,108433,1898,853,2,1014.1428571428571,18.571428571428573
208,2020-08-17,Alabama,109004,1925,571,27,854.8571428571429,18.285714285714285
209,2020-08-18,Alabama,110361,1936,1357,11,930.0,12.714285714285714
210,2020-08-19,Alabama,111478,1944,1117,8,956.0,8.857142857142858
211,2020-08-20,Alabama,112449,1974,971,30,984.5714285714286,12.0
212,2020-08-21,Alabama,113632,1996,1183,22,1046.142857142857,14.714285714285714
213,2020-08-22,Alabama,114532,2011,900,15,993.1428571428571,16.428571428571427
214,2020-08-23,Alabama,115060,2013,528,2,946.7142857142857,16.428571428571427
215,2020-08-24,Alabama,116710,2024,1650,11,1100.857142857143,14.142857142857142
216,2020-08-25,Alabama,117242,2037,532,13,983.0,14.428571428571429
217,2020-08-26,Alabama,119254,2045,2012,8,1110.857142857143,14.428571428571429
218,2020-08-27,Alabama,121023,2076,1769,31,1224.857142857143,14.571428571428571
219,2020-08-28,Alabama,122185,2107,1162,31,1221.857142857143,15.857142857142858
220,2020-08-29,Alabama,123889,2152,1704,45,1336.7142857142858,20.142857142857142
221,2020-08-30,Alabama,125235,2162,1346,10,1453.5714285714287,21.285714285714285
222,2020-08-31,Alabama,126058,2182,823,20,1335.4285714285713,22.571428571428573
223,2020-09-01,Alabama,127616,2200,1558,18,1482.0,23.285714285714285
224,2020-09-02,Alabama,128239,2217,623,17,1283.5714285714287,24.571428571428573
225,2020-09-03,Alabama,129285,2233,1046,16,1180.2857142857142,22.428571428571427
226,2020-09-04,Alabama,130393,2266,1108,33,1172.5714285714287,22.714285714285715
227,2020-09-05,Alabama,131803,2275,1410,9,1130.5714285714287,17.571428571428573
228,2020-09-06,Alabama,132314,2276,511,1,1011.2857142857143,16.285714285714285
229,2020-09-07,Alabama,132973,2276,659,0,987.8571428571429,13.428571428571429
230,2020-09-08,Alabama,133606,2277,633,1,855.7142857142857,11.0
231,2020-09-09,Alabama,134417,2285,811,8,882.5714285714286,9.714285714285714
232,2020-09-10,Alabama,135565,2301,1148,16,897.1428571428571,9.714285714285714
233,2020-09-11,Alabama,136703,2333,1138,32,901.4285714285714,9.571428571428571
234,2020-09-12,Alabama,137646,2350,943,17,834.7142857142857,10.714285714285714
235,2020-09-13,Alabama,138755,2351,1109,1,920.1428571428571,10.714285714285714
236,2020-09-14,Alabama,139459,2355,704,4,926.5714285714286,11.285714285714286
237,2020-09-15,Alabama,140160,2387,701,32,936.2857142857143,15.714285714285714
238,2020-09-16,Alabama,141087,2392,927,5,952.8571428571429,15.285714285714286
239,2020-09-17,Alabama,141757,2401,670,9,884.5714285714286,14.285714285714286
240,2020-09-18,Alabama,142863,2428,1106,27,880.0,13.571428571428571
241,2020-09-19,Alabama,144164,2437,1301,9,931.1428571428571,12.428571428571429
242,2020-09-20,Alabama,144962,2437,798,0,886.7142857142857,12.285714285714286
243,2020-09-21,Alabama,145780,2439,818,2,903.0,12.0
244,2020-09-22,Alabama,146584,2457,804,18,917.7142857142857,10.0
245,2020-09-23,Alabama,147153,2488,569,31,866.5714285714286,13.714285714285714
246,2020-09-24,Alabama,148206,2506,1053,18,921.2857142857143,15.0
247,2020-09-25,Alabama,150658,2491,2452,-15,1113.5714285714287,9.0
