Metropolitan Division Title,CSA Title,County/County Equivalent,State Name,Central/Outlying County,FIPS_combined,FIPS_population,mix_index,mix_index_population
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Paulding County,Georgia,Central,13223,155840,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Pickens County,Georgia,Outlying,13227,30832,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Pike County,Georgia,Outlying,13231,18082,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Rockdale County,Georgia,Central,13247,89011,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Spalding County,Georgia,Central,13255,64719,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Walton County,Georgia,Central,13297,90132,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Anne Arundel County,Maryland,Central,24003,567696,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Baltimore County,Maryland,Central,24005,827625,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Carroll County,Maryland,Outlying,24013,167522,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Harford County,Maryland,Outlying,24025,251025,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Howard County,Maryland,Central,24027,315327,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Queen Anne's County,Maryland,Central,24035,49355,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Baltimore city,Maryland,Central,24510,614700,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Boston-Worcester-Providence, MA-RI-NH-CT",Barnstable County,Massachusetts,Central,25001,213690,"Boston-Worcester-Providence, MA-RI-NH-CT",3389203.0
,"Houston-The Woodlands, TX",Matagorda County,Texas,Central,48321,36743,"Houston-The Woodlands, TX",6963733.0
,"Milwaukee-Racine-Waukesha, WI",Dodge County,Wisconsin,Central,55027,87776,"Milwaukee-Racine-Waukesha, WI",2046746.0
,"Columbus-Marion-Zanesville, OH",Logan County,Ohio,Central,39091,45307,"Columbus-Marion-Zanesville, OH",2456974.0
"Boston, MA","Boston-Worcester-Providence, MA-RI-NH-CT",Norfolk County,Massachusetts,Central,25021,698249,"Boston, MA",2002150.0
"Boston, MA","Boston-Worcester-Providence, MA-RI-NH-CT",Plymouth County,Massachusetts,Central,25023,512135,"Boston, MA",2002150.0
"Boston, MA","Boston-Worcester-Providence, MA-RI-NH-CT",Suffolk County,Massachusetts,Central,25025,791766,"Boston, MA",2002150.0
"Cambridge-Newton-Framingham, MA","Boston-Worcester-Providence, MA-RI-NH-CT",Essex County,Massachusetts,Central,25009,781024,"Cambridge-Newton-Framingham, MA",2376216.0
"Cambridge-Newton-Framingham, MA","Boston-Worcester-Providence, MA-RI-NH-CT",Middlesex County,Massachusetts,Central,25017,1595192,"Cambridge-Newton-Framingham, MA",2376216.0
,"Denver-Aurora, CO",Boulder County,Colorado,Central,08013,321030,"Denver-Aurora, CO",3466374.0
,"Houston-The Woodlands, TX",Washington County,Texas,Central,48477,34796,"Houston-The Woodlands, TX",6963733.0
,"New York-Newark, NY-NJ-CT-PA",Fairfield County,Connecticut,Central,09001,944348,"New York-Newark, NY-NJ-CT-PA",3374490.0
,"Greensboro--Winston-Salem--High Point, NC",Alamance County,North Carolina,Central,37001,160576,"Greensboro--Winston-Salem--High Point, NC",1652283.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",St. Mary's County,Maryland,Central,24037,111531,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Columbus-Marion-Zanesville, OH",Guernsey County,Ohio,Central,39059,39274,"Columbus-Marion-Zanesville, OH",2456974.0
,"Cleveland-Akron-Canton, OH",Carroll County,Ohio,Outlying,39019,27578,"Cleveland-Akron-Canton, OH",3607736.0
,"Cleveland-Akron-Canton, OH",Stark County,Ohio,Central,39151,373475,"Cleveland-Akron-Canton, OH",3607736.0
,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Polk County,Georgia,Central,13233,41621,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",6584708.0
,"St. Louis-St. Charles-Farmington, MO-IL",Marion County,Illinois,Central,17121,38084,"St. Louis-St. Charles-Farmington, MO-IL",2909977.0
,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",Franklin County,Pennsylvania,Central,42055,153751,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",3512978.0
,"Charlotte-Concord, NC-SC",Anson County,North Carolina,Outlying,37007,25306,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Cabarrus County,North Carolina,Outlying,37025,201448,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Gaston County,North Carolina,Outlying,37071,216585,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Iredell County,North Carolina,Central,37097,172525,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Lincoln County,North Carolina,Outlying,37109,81441,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Mecklenburg County,North Carolina,Central,37119,1054314,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Rowan County,North Carolina,Outlying,37159,139605,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Union County,North Carolina,Central,37179,226694,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Chester County,South Carolina,Outlying,45023,32326,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",Lancaster County,South Carolina,Outlying,45057,89546,"Charlotte-Concord, NC-SC",2656704.0
,"Charlotte-Concord, NC-SC",York County,South Carolina,Outlying,45091,258641,"Charlotte-Concord, NC-SC",2656704.0
"Chicago-Naperville-Evanston, IL","Chicago-Naperville, IL-IN-WI",Cook County,Illinois,Central,17031,5223719,"Chicago-Naperville-Evanston, IL",7202457.0
"Chicago-Naperville-Evanston, IL","Chicago-Naperville, IL-IN-WI",DuPage County,Illinois,Central,17043,931743,"Chicago-Naperville-Evanston, IL",7202457.0
"Chicago-Naperville-Evanston, IL","Chicago-Naperville, IL-IN-WI",Grundy County,Illinois,Outlying,17063,50509,"Chicago-Naperville-Evanston, IL",7202457.0
"Chicago-Naperville-Evanston, IL","Chicago-Naperville, IL-IN-WI",McHenry County,Illinois,Central,17111,307789,"Chicago-Naperville-Evanston, IL",7202457.0
"Chicago-Naperville-Evanston, IL","Chicago-Naperville, IL-IN-WI",Will County,Illinois,Central,17197,688697,"Chicago-Naperville-Evanston, IL",7202457.0
,"Columbus-Marion-Zanesville, OH",Ross County,Ohio,Central,39141,77051,"Columbus-Marion-Zanesville, OH",2456974.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Dearborn County,Indiana,Outlying,18029,49501,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Franklin County,Indiana,Outlying,18047,22842,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Ohio County,Indiana,Outlying,18115,5887,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Union County,Indiana,Outlying,18161,7153,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Boone County,Kentucky,Central,21015,129095,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Bracken County,Kentucky,Outlying,21023,8306,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Campbell County,Kentucky,Central,21037,92267,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Gallatin County,Kentucky,Outlying,21077,8703,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Grant County,Kentucky,Outlying,21081,24915,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Kenton County,Kentucky,Central,21117,164688,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Pendleton County,Kentucky,Outlying,21191,14520,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Brown County,Ohio,Outlying,39015,43679,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Butler County,Ohio,Central,39017,378294,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
,"Cincinnati-Wilmington-Maysville, OH-KY-IN",Clermont County,Ohio,Central,39025,203216,"Cincinnati-Wilmington-Maysville, OH-KY-IN",2250716.0
